Sr. No.;School Name;Full CLIx School Code;Server id
;Dr.S.R.Dewangan Govt.H.S.SchoolDhamtari;1011001;ct1
;Govt.Model Girls H.S.School Dhamtari;1011002;ct2
;Govt.High School Gokulpur Ward Dhamatri;1011003;ct3
;Govt.H.S.School Sambalpur;1011004;ct4
;Govt.H.School Shankardah;1011005;ct5
;Govt.High School Rudri;1011006;ct6
;Govt.H.S.School Khathuli;1011007;ct7
;Govt.H.S.School Aamdi;1011008;ct8
;Govt.H.S.School Doma;1011009;ct9
;Govt.H.S.School Kharenga;1011010;ct10
;Govt.H.S.School Bagtarai;1011011;ct11
;Govt.H.S.School Kurra;1011012;ct12
;Govt.H.S.School Gopalpuri;1011013;ct13
;Govt.H.S.School Maroud;1011014;ct14
;Govt.H.S.School Darba;1011015;ct15
;Govt.H.S.School Sivanikala;1011016;ct16
;Govt.H.S.School Ji.Jamgoan;1011017;ct17
;Govt.H.S.School Bhatagaon;1011018;ct18
;Govt.H.S.School Sirri;1011019;ct19
;Govt.H.S. School Charra;1011020;ct20
;Govt.High School Thooha;1011021;ct21
;Govt.H.S.School Atang;1011022;ct22
;Govt.H.S.School Gatapar;1011023;ct23
;Govt.High School Rampur;1011024;ct24
;Govt.H.S.School Kachana;1011025;ct25
;Govt.H.S.School Bhendara;1011026;ct26
;Govt.H.S.School Joratarai;1011027;ct27
;Govt.H.S.School Korra;1011028;ct28
;Govt.H.S.School Nari;1011029;ct29
;Govt.H.S.School Soram;1011030;ct30
;JNV Kurud;1015001;ct251
;JNV Bilaspur;1025002;ct252
;JNV Bastar;1245003;ct253
;JNV, Dantewada;1255004;ct254
;JNV, Durg;1265005;ct255
;JNV Jangir;1275006;ct256
;JNV Jaspur;1285007;ct257
;JNV Kabirdham;1295008;ct258
;JNV Kanker;1305009;ct259
;JNV Korba;1315010;ct260
;JNV Koriya;1325011;ct261
;JNV Mahasamund;1335012;ct262
;JNV Raigarh;1345013;ct263
;JNV Raipur;1355014;ct264
;JNV Rajnandgaon;1365015;ct265
;JNV Sukma;1375016;ct266
;JNV Surajpur;1385017;ct267
;GOVT. MIZO HIGH SCHOOL;2031001;mz1
;GOVT. CHAWNPUI HIGH SCHOOL;2031002;mz2
;GOVT. K.M. HIGH SCHOOL;2031003;mz3
;GOVT. SAKAWRTUICHHUN HIGH SCHOOL;2031004;mz4
;GOVT. JL HIGH SCHOOL;2031005;mz5
;GOVT. KULIKAWN HIGH SCHOOL;2031006;mz6
;TUIKUAL SOUTH HIGH SCHOOL(ADHOC);2031007;mz7
;GOVT. AIZAWL HIGH SCHOOL;2031008;mz8
;GOVT. HRANGCHHUANA HIGH SCHOOL;2031009;mz9
;GOVT. GORKHA HIGH SCHOOL;2031010;mz10
;GOVT. BAWNGKAWN HIGH SCHOOL;2031011;mz11
;GOVT. BUNGKAWN HIGH SCHOOL;2031012;mz12
;GOVT. MELRIAT HIGH SCHOOL;2031013;mz13
;GOVT. PIANGHLEIA HIGH SCHOOL;2031014;mz14
;GOVT. ZEMABAWK HIGH SCHOOL;2031015;mz15
;GOVT. MAMAWII HIGH SCHOOL;2031016;mz16
;GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL;2031017;mz17
